,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,117,Damien,Williams,ARI,3,7.5,,,,,43,0,11,2,12,0,2,,,,,,,,,,
RB,118,Dare,Ogunbowale,HOU,6,7.3,,,,,35,0,8,7,18,0,2,,,,,,,,,,
RB,119,KeShawn,Vaughn,TB,5,6.4,,,,,42,0,24,5,2,0,2,,,,,,,,,,
RB,120,Keith,Smith,ATL,3,6.3,,,,,0,0,0,3,33,0,3,,,,,,,,,,
RB,121,Khari,Blasingame,CHI,7,5.8,,,,,26,0,8,6,2,0,3,,,,,,,,,,
RB,122,Sean,Tucker,TB,3,5.2,,,,,23,0,15,2,9,0,2,,,,,,,,,,
RB,123,Kenyan,Drake,BAL,2,5.1,,,,,0,0,2,3,31,0,2,,,,,,,,,,
RB,124,Rashaad,Penny,PHI,3,4.8,,,,,33,0,11,1,5,0,1,,,,,,,,,,
RB,125,Michael,Burton,DEN,8,4.7,,,,,9,0,7,3,8,0,3,,,,,,,,,,
RB,126,Adam,Prentice,NO,2,4.4,,,,,12,0,2,3,12,0,2,,,,,,,,,,
RB,127,Alex,Armah,WAS,3,4.3,,,,,0,0,0,3,13,0,3,,,,,,,,,,
RB,128,Jashaun,Corbin,NYG,1,4.3,,,,,1,0,1,3,12,0,3,,,,,,,,,,
RB,129,Leonard,Fournette,BUF,2,4,,,,,40,0,12,0,0,0,0,,,,,,,,,,
RB,130,Elijah,Dotson,LAC,1,3.9,,,,,6,0,4,2,13,0,2,,,,,,,,,,
RB,131,Jake,Funk,IND,1,3.2,,,,,10,0,2,1,12,0,1,,,,,,,,,,
RB,132,Zonovan,Knight,DET,2,3.1,,,,,13,0,3,1,8,0,1,,,,,,,,,,
RB,133,Anthony,McFarland,PIT,1,3.1,,,,,0,0,0,2,11,0,2,,,,,,,,,,
RB,134,Derrick,Gore,WAS,2,2.6,,,,,26,0,3,0,0,0,0,,,,,,,,,,
RB,135,Devine,Ozigbo,DET,1,2.3,,,,,5,0,3,1,8,0,1,,,,,,,,,,
RB,136,Jakob,Johnson,LV,1,2.2,,,,,0,0,0,2,12,0,1,,,,,,,,,,
RB,137,Tyrion,Davis-Price,SF,1,2.1,,,,,21,0,6,0,0,0,0,,,,,,,,,,
RB,138,Chris,Evans,CIN,1,2.1,,,,,12,0,2,1,-1,0,1,,,,,,,,,,
RB,139,Zach,Evans,LAR,4,1.9,,,,,19,0,9,0,0,0,0,,,,,,,,,,
RB,140,Evan,Hull,IND,1,1.7,,,,,1,0,1,1,6,0,1,,,,,,,,,,
RB,141,Reggie,Gilliam,BUF,1,1.3,,,,,0,0,0,1,3,0,1,,,,,,,,,,
RB,142,Kene,Nwangwu,MIN,3,1.3,,,,,13,0,5,0,0,0,0,,,,,,,,,,
RB,143,Jonathan,Ward,TEN,1,1.1,,,,,11,0,3,0,0,0,0,,,,,,,,,,
RB,144,James,Robinson,GB,1,1,,,,,2,0,1,1,-2,0,1,,,,,,,,,,
RB,145,Jason,Cabinda,DET,1,0,,,,,0,0,1,0,0,0,0,,,,,,,,,,
RB,146,JaMycal,Hasty,JAC,1,0,,,,,0,0,0,2,0,0,0,,,,,,,,,,
RB,147,Travis,Homer,CHI,1,0,,,,,0,0,0,1,0,0,0,,,,,,,,,,
RB,148,Jordan,Mims,NO,1,0,,,,,0,0,0,2,0,0,0,,,,,,,,,,
RB,149,Jonathan,Williams,WAS,1,-0.2,,,,,-2,0,1,1,0,0,0,,,,,,,,,,
WR,0,CeeDee,Lamb,DAL,17,405.2,,,,,113,2,14,181,1749,12,135,,,,,,,,,,
WR,1,Tyreek,Hill,MIA,16,378.4,,,,,15,0,6,171,1799,13,119,,,,,,,,,,
WR,2,Amon-Ra,St.,DET,16,332.9,,,,,24,0,4,164,1515,10,119,,,,,,,,,,
WR,3,Puka,Nacua,LAR,17,298.5,,,,,89,0,12,160,1486,6,105,,,,,,,,,,
WR,4,A.J.,Brown,PHI,17,293.6,,,,,0,0,0,158,1456,7,106,,,,,,,,,,
WR,5,D.J.,Moore,CHI,17,288.5,,,,,21,1,4,136,1364,8,96,,,,,,,,,,
WR,6,Mike,Evans,TB,17,282.5,,,,,0,0,0,136,1255,13,79,,,,,,,,,,
WR,7,Keenan,Allen,LAC,13,274.9,,,,,6,0,2,150,1243,7,108,,,,,,,,,,
WR,8,Stefon,Diggs,BUF,17,273.8,,,,,5,0,1,160,1183,8,107,,,,,,,,,,
WR,9,Davante,Adams,LV,17,265.4,,,,,0,0,0,175,1144,8,103,,,,,,,,,,
WR,10,JaMarr,Chase,CIN,16,263,,,,,-6,0,3,145,1216,7,100,,,,,,,,,,
WR,11,Nico,Collins,HOU,15,258.4,,,,,7,0,1,109,1297,8,80,,,,,,,,,,
WR,12,Brandon,Aiyuk,SF,16,251.2,,,,,0,0,0,105,1342,7,75,,,,,,,,,,
WR,13,Michael,Pittman,IND,16,248.2,,,,,0,0,0,156,1152,4,109,,,,,,,,,,
WR,14,Deebo,Samuel,SF,15,243.7,,,,,225,5,37,89,892,7,60,,,,,,,,,,
WR,15,DeVonta,Smith,PHI,16,229.6,,,,,0,0,0,112,1066,7,81,,,,,,,,,,
WR,16,Chris,Olave,NO,16,229.3,,,,,0,0,0,138,1123,5,87,,,,,,,,,,
WR,17,Adam,Thielen,CAR,17,229,,,,,6,0,1,137,1014,4,103,,,,,,,,,,
WR,18,Calvin,Ridley,JAC,17,227.9,,,,,23,0,9,136,1016,8,76,,,,,,,,,,
WR,19,Amari,Cooper,CLE,15,227,,,,,0,0,0,128,1250,5,72,,,,,,,,,,
WR,20,DK,Metcalf,SEA,16,225.4,,,,,0,0,0,119,1114,8,66,,,,,,,,,,
WR,21,DeAndre,Hopkins,TEN,17,223.6,,,,,9,0,2,137,1057,7,75,,,,,,,,,,
WR,22,Jordan,Addison,MIN,17,221.3,,,,,2,0,1,108,911,10,70,,,,,,,,,,
WR,23,Garrett,Wilson,NYJ,17,217.2,,,,,0,0,4,168,1042,3,95,,,,,,,,,,
WR,24,Jayden,Reed,GB,16,215.2,,,,,119,2,11,94,793,8,64,,,,,,,,,,
WR,25,Rashee,Rice,KC,16,214.5,,,,,-3,0,1,102,938,7,79,,,,,,,,,,
WR,26,Jakobi,Meyers,LV,16,214.1,,,,,24,2,4,106,807,8,71,,,,,,,,,,
WR,27,George,Pickens,PIT,17,208.8,,,,,18,0,3,106,1140,5,63,,,,,,,,,,
WR,28,Chris,Godwin,TB,17,207.2,,,,,38,1,4,130,1024,2,83,,,,,,,,,,
WR,29,Zay,Flowers,BAL,16,204.4,,,,,56,1,8,108,858,5,77,,,,,,,,,,
WR,30,Justin,Jefferson,MIN,10,204.2,,,,,-12,0,1,100,1074,5,68,,,,,,,,,,
WR,31,Terry,McLaurin,WAS,17,203.2,,,,,0,0,0,132,1002,4,79,,,,,,,,,,
WR,32,Jaylen,Waddle,MIA,14,198.6,,,,,12,0,3,104,1014,4,72,,,,,,,,,,
WR,33,Tyler,Lockett,SEA,17,198.4,,,,,0,0,0,122,894,5,79,,,,,,,,,,
WR,34,Courtland,Sutton,DEN,16,196.2,,,,,0,0,0,90,772,10,59,,,,,,,,,,
WR,35,Romeo,Doubs,GB,17,174.4,,,,,0,0,0,96,674,8,59,,,,,,,,,,
WR,36,Drake,London,ATL,16,171.5,,,,,0,0,0,110,905,2,69,,,,,,,,,,
WR,37,Brandin,Cooks,DAL,16,171.2,,,,,35,0,5,81,657,8,54,,,,,,,,,,
WR,38,Tank,Dell,HOU,10,165,,,,,51,0,11,75,709,7,47,,,,,,,,,,
WR,39,Cooper,Kupp,LAR,12,162.4,,,,,-3,0,1,95,737,5,59,,,,,,,,,,
WR,40,Gabe,Davis,BUF,16,161.4,,,,,-2,0,1,81,746,7,45,,,,,,,,,,
WR,41,Curtis,Samuel,WAS,16,157.2,,,,,39,1,7,91,613,4,62,,,,,,,,,,
WR,42,Josh,Downs,IND,17,157.1,,,,,0,0,0,98,771,2,68,,,,,,,,,,
WR,43,Christian,Kirk,JAC,12,154.3,,,,,6,0,1,85,787,3,57,,,,,,,,,,
WR,44,Diontae,Johnson,PIT,13,152.7,,,,,0,0,0,87,717,5,51,,,,,,,,,,
WR,45,Rashid,Shaheed,NO,15,151.6,,,,,37,0,7,75,719,5,46,,,,,,,,,,
WR,46,Darius,Slayton,NYG,17,151,,,,,0,0,0,79,770,4,50,,,,,,,,,,
WR,47,Jaxon,Smith-Njigba,SEA,17,149.8,,,,,0,0,0,93,628,4,63,,,,,,,,,,
WR,48,Tyler,Boyd,CIN,17,146.8,,,,,11,0,2,98,667,2,67,,,,,,,,,,
WR,49,Jerry,Jeudy,DEN,16,141.8,,,,,0,0,0,87,758,2,54,,,,,,,,,,
WR,50,Tee,Higgins,CIN,12,137.6,,,,,0,0,0,76,656,5,42,,,,,,,,,,
WR,51,Elijah,Moore,CLE,16,136.1,,,,,11,0,9,104,640,2,59,,,,,,,,,,
WR,52,Marquise,Brown,ARI,14,134.7,,,,,23,0,2,101,574,4,51,,,,,,,,,,
WR,53,WanDale,Robinson,NYG,15,133.2,,,,,87,1,9,78,525,1,60,,,,,,,,,,
WR,54,Josh,Reynolds,DET,16,130.8,,,,,0,0,0,64,608,5,40,,,,,,,,,,
WR,55,Jahan,Dotson,WAS,17,124.8,,,,,0,0,0,83,518,4,49,,,,,,,,,,
WR,56,Dontayvion,Wicks,GB,15,121.2,,,,,1,0,1,58,581,4,39,,,,,,,,,,
WR,57,K.J.,Osborn,MIN,15,120,,,,,0,0,0,75,540,3,48,,,,,,,,,,
WR,58,D.J.,Chark,CAR,14,117.5,,,,,0,0,0,66,525,5,35,,,,,,,,,,
WR,59,Khalil,Shakir,BUF,16,113.1,,,,,10,0,1,45,611,2,39,,,,,,,,,,
WR,60,Michael,Wilson,ARI,13,112.5,,,,,0,0,0,58,565,3,38,,,,,,,,,,
WR,61,Odell,Beckham,BAL,14,109.5,,,,,0,0,0,64,565,3,35,,,,,,,,,,
WR,62,Demario,Douglas,NE,14,109.2,,,,,41,0,8,79,561,0,49,,,,,,,,,,
WR,63,Josh,Palmer,LAC,10,108.7,,,,,6,0,1,61,581,2,38,,,,,,,,,,
WR,64,Tutu,Atwell,LAR,14,108.4,,,,,31,0,5,67,483,3,39,,,,,,,,,,
WR,65,Rondale,Moore,ARI,17,105,,,,,178,1,28,62,352,1,40,,,,,,,,,,
WR,66,Kendrick,Bourne,NE,8,102,,,,,4,0,1,55,406,4,37,,,,,,,,,,
WR,67,Noah,Brown,HOU,10,101.6,,,,,-1,0,1,55,567,2,33,,,,,,,,,,
WR,68,Christian,Watson,GB,9,101.3,,,,,11,0,4,53,422,5,28,,,,,,,,,,
WR,69,Trey,Palmer,TB,17,97.7,,,,,22,0,3,68,385,3,39,,,,,,,,,,
WR,70,Kalif,Raymond,DET,17,97.4,,,,,75,0,7,44,489,1,35,,,,,,,,,,
WR,71,Nelson,Agholor,BAL,16,97.1,,,,,0,0,0,45,381,4,35,,,,,,,,,,
WR,72,Alec,Pierce,IND,17,95.4,,,,,0,0,0,65,514,2,32,,,,,,,,,,
WR,73,Quentin,Johnston,LAC,17,94,,,,,9,0,3,67,431,2,38,,,,,,,,,,
WR,74,Justin,Watson,KC,15,91,,,,,0,0,0,53,460,3,27,,,,,,,,,,
WR,75,Michael,Thomas,NO,10,89.8,,,,,0,0,0,64,448,1,39,,,,,,,,,,
WR,76,Demarcus,Robinson,LAR,8,89.4,,,,,23,0,1,39,371,4,26,,,,,,,,,,
WR,77,Robert,Woods,HOU,13,89.3,,,,,7,0,1,75,426,1,40,,,,,,,,,,
WR,78,Michael,Gallup,DAL,16,87.8,,,,,0,0,0,57,418,2,34,,,,,,,,,,
WR,79,Jonathan,Mingo,CAR,15,84.8,,,,,0,0,0,85,418,0,43,,,,,,,,,,
WR,80,Nick,Westbrook-Ikhine,TEN,13,83,,,,,0,0,0,45,370,3,28,,,,,,,,,,
WR,81,Jameson,Williams,DET,12,80.3,,,,,29,1,3,42,354,2,24,,,,,,,,,,
WR,82,Darnell,Mooney,CHI,14,78.9,,,,,5,0,2,61,414,1,31,,,,,,,,,,
WR,83,Zay,Jones,JAC,9,78.1,,,,,0,0,0,64,321,2,34,,,,,,,,,,
WR,84,Rashod,Bateman,BAL,15,76.5,,,,,18,0,1,56,367,1,32,,,,,,,,,,
WR,85,DeVante,Parker,NE,13,72.4,,,,,0,0,0,55,394,0,33,,,,,,,,,,
WR,86,Tre,Tucker,LV,13,71.8,,,,,77,0,10,34,331,2,19,,,,,,,,,,
WR,87,Brandon,Johnson,DEN,10,71.4,,,,,0,0,0,30,284,4,19,,,,,,,,,,
WR,88,Cedrick,Wilson,MIA,11,69.6,,,,,0,0,0,38,296,3,22,,,,,,,,,,
WR,89,Brandon,Powell,MIN,14,69.1,,,,,17,0,5,44,324,1,29,,,,,,,,,,
WR,90,Marvin,Mims,DEN,15,68.7,,,,,30,0,9,33,377,1,22,,,,,,,,,,
WR,91,Chris,Moore,TEN,15,68.3,,,,,39,0,2,35,424,0,22,,,,,,,,,,
WR,92,Greg,Dortch,ARI,9,64.5,,,,,5,0,1,41,280,2,24,,,,,,,,,,
WR,93,Trenton,Irwin,CIN,10,62.6,,,,,0,0,0,32,316,1,25,,,,,,,,,,
WR,94,Isaiah,Hodgins,NYG,14,62,,,,,0,0,0,33,230,3,21,,,,,,,,,,
WR,95,Allen,Robinson,PIT,15,62,,,,,0,0,0,49,280,0,34,,,,,,,,,,
WR,96,JuJu,Smith-Schuster,NE,11,61,,,,,0,0,0,47,260,1,29,,,,,,,,,,
WR,97,Jalen,Tolbert,DAL,14,60.8,,,,,0,0,0,36,268,2,22,,,,,,,,,,
WR,98,A.T.,Perry,NO,8,60.6,,,,,0,0,0,18,246,4,12,,,,,,,,,,
WR,99,Jalin,Hyatt,NYG,13,60.3,,,,,0,0,0,40,373,0,23,,,,,,,,,,
WR,100,Allen,Lazard,NYJ,13,60.1,,,,,0,0,0,49,311,1,23,,,,,,,,,,
WR,101,KaVontae,Turpin,DAL,12,59.7,,,,,110,1,11,18,127,3,12,,,,,,,,,,
WR,102,Marquez,Valdes-Scantling,KC,16,58.5,,,,,0,0,0,42,315,1,21,,,,,,,,,,
WR,103,Braxton,Berrios,MIA,13,57.9,,,,,11,0,1,33,238,1,27,,,,,,,,,,
WR,104,Jake,Bobo,SEA,14,56.9,,,,,3,1,1,25,196,2,19,,,,,,,,,,
WR,105,Xavier,Gipson,NYJ,14,56.7,,,,,68,1,8,38,229,0,21,,,,,,,,,,
WR,106,Skyy,Moore,KC,13,53.7,,,,,23,0,3,38,244,1,21,,,,,,,,,,
WR,107,Kadarius,Toney,KC,13,53,,,,,31,0,11,38,169,1,27,,,,,,,,,,
WR,108,Calvin,Austin,PIT,14,52.7,,,,,57,1,11,30,180,1,17,,,,,,,,,,
WR,109,Jauan,Jennings,SF,12,51.5,,,,,0,0,0,33,265,1,19,,,,,,,,,,
WR,110,Andrei,Iosivas,CIN,9,50.6,,,,,0,0,0,25,116,4,15,,,,,,,,,,
WR,111,Hunter,Renfrow,LV,13,50.5,,,,,0,0,0,37,255,0,25,,,,,,,,,,
WR,112,Mike,Williams,LAC,3,50.2,,,,,3,0,1,26,249,1,19,,,,,,,,,,
WR,113,David,Bell,CLE,9,48.7,,,,,0,0,0,23,167,3,14,,,,,,,,,,
WR,114,LilJordan,Humphrey,DEN,11,47.2,,,,,0,0,0,19,162,3,13,,,,,,,,,,
WR,115,Bo,Melton,GB,4,45.9,,,,,21,0,3,24,218,1,16,,,,,,,,,,
WR,116,Alex,Erickson,LAC,8,45.2,,,,,0,0,0,29,232,1,16,,,,,,,,,,
WR,117,Cedric,Tillman,CLE,11,44.2,,,,,8,0,1,44,224,0,21,,,,,,,,,,
WR,118,Mack,Hollins,ATL,9,43.1,,,,,0,0,0,30,251,0,18,,,,,,,,,,
WR,119,Jamal,Agnew,JAC,8,42.3,,,,,-2,0,4,21,225,1,14,,,,,,,,,,
WR,120,Van,Jefferson,LAR,14,41.3,,,,,4,0,1,43,209,0,20,,,,,,,,,,
WR,121,Parker,Washington,JAC,6,41.2,,,,,0,0,0,21,132,2,16,,,,,,,,,,
WR,122,Treylon,Burks,TEN,9,39.9,,,,,18,0,5,30,221,0,16,,,,,,,,,,
WR,123,Scotty,Miller,ATL,9,39.1,,,,,0,0,0,16,161,2,11,,,,,,,,,,
WR,124,Olamide,Zaccheaus,PHI,11,38.4,,,,,0,0,0,20,164,2,10,,,,,,,,,,
WR,125,Jamison,Crowder,WAS,7,37.9,,,,,0,0,0,20,159,1,16,,,,,,,,,,
WR,126,Tyler,Scott,CHI,13,37.9,,,,,41,0,7,32,168,0,17,,,,,,,,,,
WR,127,KhaDarel,Hodge,ATL,13,37.2,,,,,0,0,1,23,232,0,14,,,,,,,,,,
WR,128,Deven,Thompkins,TB,12,36.9,,,,,56,0,8,25,83,1,17,,,,,,,,,,
WR,129,Julio,Jones,PHI,8,36.4,,,,,0,0,0,19,74,3,11,,,,,,,,,,
WR,130,Deonte,Harty,BUF,13,36,,,,,0,0,4,21,150,1,15,,,,,,,,,,
WR,131,Quez,Watkins,PHI,5,35.2,,,,,0,0,0,21,142,1,15,,,,,,,,,,
WR,132,Dyami,Brown,WAS,13,34.8,,,,,0,0,1,23,168,1,12,,,,,,,,,,
WR,133,Malik,Heath,GB,12,33.5,,,,,0,0,0,24,125,1,15,,,,,,,,,,
WR,134,Kyle,Philips,TEN,8,33.1,,,,,0,0,0,22,181,0,15,,,,,,,,,,
WR,135,Terrace,Marshall,CAR,8,32.9,,,,,0,0,0,33,139,0,19,,,,,,,,,,
WR,136,John,Metchie,HOU,14,32.2,,,,,4,0,1,30,158,0,16,,,,,,,,,,
WR,137,Derius,Davis,LAC,14,31.7,,,,,101,0,14,17,66,0,15,,,,,,,,,,
WR,138,Ronnie,Bell,SF,8,30.8,,,,,0,0,0,13,68,3,6,,,,,,,,,,
WR,139,Parris,Campbell,NYG,8,30.4,,,,,0,0,0,27,104,0,20,,,,,,,,,,
WR,140,Byron,Pringle,WAS,12,30.1,,,,,0,0,0,22,161,0,14,,,,,,,,,,
WR,141,Ray-Ray,McCloud,SF,7,28.5,,,,,30,0,3,15,135,0,12,,,,,,,,,,
WR,142,Donovan,Peoples-Jones,CLE,12,28.5,,,,,0,0,0,25,155,0,13,,,,,,,,,,
WR,143,Mecole,Hardman,NYJ,7,27.7,,,,,3,0,1,24,124,0,15,,,,,,,,,,
WR,144,Tyquan,Thornton,NE,9,27.2,,,,,51,0,3,23,91,0,13,,,,,,,,,,
WR,145,River,Cracraft,MIA,6,27.1,,,,,0,0,0,12,121,1,9,,,,,,,,,,
WR,146,Ihmir,Smith-Marsette,CAR,6,26.5,,,,,74,1,8,10,51,0,8,,,,,,,,,,
WR,147,Trent,Sherfield,BUF,9,25.6,,,,,0,0,0,22,86,1,11,,,,,,,,,,
WR,148,Jalen,Guyton,LAC,7,24.9,,,,,0,0,0,21,89,1,10,,,,,,,,,,
WR,149,Robbie,Chosen,MIA,5,22.6,,,,,0,0,0,6,126,1,4,,,,,,,,,,
WR,150,Lynn,Bowden,NO,8,22.5,,,,,32,0,5,16,83,0,11,,,,,,,,,,
WR,151,Jalen,Reagor,NE,9,22.5,,,,,17,0,1,23,138,0,7,,,,,,,,,,
WR,152,Sterling,Shepard,NYG,10,22.3,,,,,6,0,1,22,57,1,10,,,,,,,,,,
WR,153,Xavier,Hutchinson,HOU,11,21.9,,,,,49,0,5,19,90,0,8,,,,,,,,,,
WR,154,Chase,Claypool,CHI,7,21.7,,,,,0,0,0,21,77,1,8,,,,,,,,,,
WR,155,Laviska,Shenault,CAR,8,21.5,,,,,55,0,12,10,60,0,10,,,,,,,,,,
WR,156,Ben,Skowronek,LAR,9,21.5,,,,,9,0,2,12,66,1,8,,,,,,,,,,
WR,157,Richie,James,KC,8,21.4,,,,,0,0,0,14,114,0,10,,,,,,,,,,
WR,158,Isaiah,McKenzie,IND,10,20.6,,,,,14,0,3,14,82,0,11,,,,,,,,,,
WR,159,David,Moore,TB,6,20.4,,,,,0,0,0,7,94,1,5,,,,,,,,,,
WR,160,Tim,Jones,JAC,9,19.3,,,,,0,0,0,18,83,0,11,,,,,,,,,,
WR,161,Jason,Brownlee,NYJ,4,16.6,,,,,0,0,0,8,56,1,5,,,,,,,,,,
WR,162,Samori,Toure,GB,8,15.8,,,,,0,0,0,18,78,0,8,,,,,,,,,,
WR,163,Randall,Cobb,NYJ,9,14.9,,,,,0,0,0,17,39,1,5,,,,,,,,,,
WR,164,Charlie,Jones,CIN,4,14.7,,,,,13,0,2,9,64,0,7,,,,,,,,,,
WR,165,Keith,Kirkwood,NO,7,14.7,,,,,0,0,0,9,37,1,5,,,,,,,,,,
WR,166,D.J.,Montgomery,IND,2,14.6,,,,,0,0,0,8,56,1,3,,,,,,,,,,
WR,167,Marquise,Goodwin,CLE,10,14,,,,,33,0,4,13,67,0,4,,,,,,,,,,
WR,168,Jalen,Brooks,DAL,3,12.4,,,,,0,0,0,6,64,0,6,,,,,,,,,,
WR,169,Justyn,Ross,KC,5,11.3,,,,,0,0,0,11,53,0,6,,,,,,,,,,
WR,170,Equanimeous,St.,CHI,5,11.2,,,,,0,0,0,6,62,0,5,,,,,,,,,,
WR,171,Velus,Jones,CHI,10,11.1,,,,,51,0,8,7,20,0,4,,,,,,,,,,
WR,172,Rakim,Jarrett,TB,6,10,,,,,0,0,1,9,60,0,4,,,,,,,,,,
WR,173,Chris,Conley,SF,1,9.9,,,,,0,0,0,6,69,0,3,,,,,,,,,,
WR,174,DeAndre,Carter,LV,8,9.7,,,,,18,0,3,7,39,0,4,,,,,,,,,,
